Product_ID,Product_Name,Category,Brand,Current_Price,Competitor_Price,Stock,Units_Sold,Rating,Discount_Percentage,Season,Customer_Type,City,Payment_Method,Delivery_Days,Return_Rate,Review_Count,Wishlist_Count,Cart_Abandonment_Rate,Seller_Rating,Shipping_Cost,Marketing_Spend,Holiday,Weekday,Demand_Index,Recommendation_Score,Recommended_Price
P00011,Mixer,Home & Kitchen,Philips,77388,77604,284,562,3.7,25,Festival,Returning,Ahmedabad,Credit Card,2,9.17,3971,3344,51.55,4.6,358,23357,Yes,Friday,89,69.63,83579
P00012,Table,Home & Kitchen,Philips,46127,44163,149,46,4.7,40,Winter,Premium,Ahmedabad,Net Banking,3,9.66,3089,9764,24.33,3.4,107,30186,No,Wednesday,54,63.01,46127
P00013,Milk,Grocery,Tata,59512,59290,446,69,3.8,50,Monsoon,Premium,Ahmedabad,Credit Card,2,5.48,4276,5951,53.33,4.0,283,34056,Yes,Saturday,65,91.32,59512
P00014,Water Bottle,Home & Kitchen,Philips,7899,9602,444,384,3.7,30,Normal,New,Mumbai,Credit Card,4,6.65,723,1211,32.85,3.6,277,17133,Yes,Friday,45,52.77,7505
P00015,Hoodie,Fashion,Puma,34863,32089,950,252,3.4,40,Normal,New,Delhi,Debit Card,7,12.13,2868,9045,65.57,3.4,330,8063,Yes,Friday,48,55.44,33120
P00016,Bag,Fashion,Nike,45028,47178,889,280,3.4,20,Summer,Premium,Delhi,Debit Card,3,8.75,2311,3046,38.87,3.4,64,4621,Yes,Thursday,76,53.1,45028
P00017,Microwave,Home & Kitchen,Prestige,8101,8157,81,91,2.8,0,Winter,New,Pune,UPI,5,9.21,490,2777,36.8,3.7,140,35129,Yes,Tuesday,58,98.56,8101
P00018,Shampoo,Beauty,L'Oreal,31991,32680,617,463,3.1,15,Normal,Premium,Kolkata,Credit Card,3,6.52,5067,3050,22.81,4.0,118,48780,Yes,Thursday,64,97.9,31991
P00019,Fan,Home & Kitchen,Cello,18700,16652,472,383,3.3,40,Normal,Premium,Delhi,Cash on Delivery,1,2.39,4073,2838,10.81,3.8,476,8920,Yes,Wednesday,72,90.35,18700
P00020,Chair,Home & Kitchen,Cello,4074,6937,576,540,3.8,50,Summer,Premium,Ahmedabad,Credit Card,4,2.74,3479,3723,49.67,3.8,301,9261,Yes,Thursday,68,78.35,4074
P00021,Smart TV,Electronics,Apple,38863,37410,989,270,3.1,0,Normal,Returning,Mumbai,Debit Card,7,4.36,848,5654,51.55,3.6,102,19165,Yes,Wednesday,78,84.01,38863
P00022,Sunscreen,Beauty,L'Oreal,53233,53230,795,198,4.2,0,Summer,Premium,Mumbai,Debit Card,4,11.62,2571,7336,26.47,3.9,181,32880,No,Monday,47,88.93,50572
P00023,Tea,Grocery,Nestle,19667,18665,519,396,4.2,25,Festival,New,Mumbai,Cash on Delivery,3,11.25,2619,4845,18.21,4.3,141,34783,Yes,Tuesday,66,66.56,19667
P00024,Laptop,Electronics,Apple,60380,62228,314,190,3.1,0,Winter,New,Kolkata,Debit Card,1,13.79,2819,4031,10.2,4.7,204,18323,No,Friday,42,83.01,57361
P00025,Chair,Home & Kitchen,Philips,8335,9963,504,279,3.8,5,Monsoon,Returning,Mumbai,Cash on Delivery,1,3.41,865,7191,35.43,4.2,146,23150,Yes,Saturday,97,54.52,9001
P00026,Milk,Grocery,Tata,8750,9403,710,278,3.3,15,Normal,Premium,Kolkata,UPI,3,0.31,7813,8701,20.72,3.1,183,27913,No,Tuesday,50,69.32,8750
P00027,Smart Watch,Electronics,OnePlus,25248,27107,474,259,3.2,10,Winter,Premium,Hyderabad,Debit Card,6,8.35,7666,9858,27.66,4.6,183,36974,Yes,Wednesday,52,56.05,25248
P00028,Jeans,Fashion,Puma,21042,21199,502,255,4.0,20,Festival,Returning,Chennai,UPI,2,10.71,3986,3536,59.83,3.1,104,42021,Yes,Monday,65,90.16,21042
P00029,Coffee,Grocery,Tata,14933,15749,95,263,3.9,30,Monsoon,Premium,Mumbai,Debit Card,3,5.46,5546,2831,53.52,4.2,432,3639,Yes,Friday,82,58.31,16127
P00030,Jeans,Fashion,Levis,12228,10719,68,129,4.5,30,Monsoon,Premium,Delhi,Net Banking,5,7.42,4232,3081,57.49,3.2,307,16671,No,Monday,81,59.22,13206
P00031,Rice,Grocery,Nestle,24702,25444,299,391,3.8,5,Festival,New,Delhi,UPI,6,8.02,214,8772,36.51,4.1,151,9999,No,Sunday,48,60.17,23467
P00032,Pressure Cooker,Home & Kitchen,Prestige,52548,49710,415,526,3.1,20,Summer,Returning,Chennai,Cash on Delivery,4,11.04,6195,3704,61.83,4.2,80,635,No,Monday,56,53.63,52548
P00033,Perfume,Beauty,Nivea,72873,72953,262,580,2.9,10,Normal,Returning,Mumbai,Debit Card,6,2.53,2347,9737,55.26,3.5,74,47746,Yes,Saturday,86,71.5,78702
P00034,Tea,Grocery,Fortune,71660,72354,541,82,4.7,15,Festival,New,Bengaluru,Cash on Delivery,7,13.76,2557,546,69.25,3.5,499,15774,Yes,Thursday,53,79.41,71660
P00035,Perfume,Beauty,Dove,50376,51911,111,386,4.2,5,Monsoon,Premium,Chennai,UPI,3,12.04,784,9977,57.27,3.6,385,34637,No,Friday,69,92.08,50376
P00036,Pressure Cooker,Home & Kitchen,Pigeon,15789,18659,218,288,3.1,25,Normal,New,Chennai,UPI,5,12.16,2446,2021,60.51,4.7,203,4007,Yes,Saturday,47,58.64,15000
P00037,Mixer,Home & Kitchen,Cello,8305,5863,16,137,3.2,5,Festival,Premium,Mumbai,Credit Card,5,6.77,2648,9105,8.69,4.3,464,1058,No,Monday,84,53.85,8969
P00038,Headphones,Electronics,Dell,39527,38439,585,338,3.6,10,Monsoon,Returning,Pune,Net Banking,6,4.46,5026,3152,59.42,3.8,284,10376,No,Wednesday,54,60.66,39527
P00039,Laptop,Electronics,OnePlus,22234,19522,290,477,3.7,50,Winter,Premium,Chennai,Net Banking,4,3.25,3099,5823,21.47,3.2,491,24217,Yes,Friday,100,70.71,24012
P00040,Milk,Grocery,Aashirvaad,47566,49784,484,354,3.4,5,Monsoon,Returning,Hyderabad,Debit Card,5,10.05,145,613,44.74,4.5,300,25740,No,Saturday,90,97.88,51371
P00041,Smartphone,Electronics,Apple,59465,57517,391,255,3.1,0,Monsoon,Premium,Chennai,Debit Card,2,2.24,1072,8227,57.2,4.7,421,26415,Yes,Friday,63,90.22,59465
P00042,Microwave,Home & Kitchen,Pigeon,8229,5689,311,382,4.6,0,Winter,Returning,Hyderabad,Credit Card,6,9.86,7978,1617,66.0,4.1,384,35016,No,Tuesday,72,75.45,8229
P00043,Jeans,Fashion,H&M,15182,17609,630,20,4.1,10,Winter,Returning,Delhi,Debit Card,7,12.68,7732,5275,20.32,4.0,307,44040,No,Wednesday,95,52.68,16396
P00044,Sunscreen,Beauty,Nivea,411,1404,726,358,4.9,20,Normal,Premium,Delhi,UPI,5,11.36,4058,5791,44.18,3.7,487,27251,No,Saturday,82,75.18,443
P00045,Headphones,Electronics,Samsung,13835,11948,446,222,5.0,15,Festival,Premium,Delhi,Credit Card,2,11.78,1574,2657,8.06,3.4,117,12590,No,Saturday,71,51.59,13835
P00046,Pressure Cooker,Home & Kitchen,Cello,49741,49901,164,541,3.7,25,Monsoon,Returning,Pune,Net Banking,2,6.6,980,3541,56.65,4.5,80,37784,Yes,Saturday,78,66.2,49741
P00047,Face Wash,Beauty,L'Oreal,2606,-210,878,379,5.0,0,Winter,Returning,Chennai,Net Banking,2,12.39,5050,7328,66.35,4.5,347,19238,No,Wednesday,59,57.83,2606
P00048,Smart TV,Electronics,Dell,71865,73724,500,554,3.5,20,Normal,New,Bengaluru,Credit Card,7,9.6,1699,7158,67.7,4.1,221,21401,Yes,Saturday,70,78.09,71865
P00049,Coffee,Grocery,Tata,37310,36444,417,508,4.1,50,Monsoon,Premium,Mumbai,Net Banking,4,4.75,1141,5240,58.98,3.9,324,39446,Yes,Saturday,91,62.07,40294
P00050,Tablet,Electronics,Samsung,11603,11706,990,34,3.2,10,Normal,New,Pune,Credit Card,1,1.14,4247,4520,64.16,4.3,418,47765,Yes,Saturday,53,84.26,11603
P00051,Coffee,Grocery,Nestle,27353,29781,976,500,4.4,50,Monsoon,Premium,Kolkata,UPI,6,14.1,2478,873,38.51,4.9,297,33155,No,Tuesday,48,52.44,25986
P00052,Jeans,Fashion,Puma,48238,49043,43,143,3.8,50,Winter,Returning,Hyderabad,Debit Card,6,7.2,4919,6939,37.69,4.8,239,7229,Yes,Wednesday,89,58.62,52097
P00053,Body Wash,Beauty,Nivea,32159,31815,944,179,4.4,25,Winter,Returning,Delhi,Cash on Delivery,3,11.2,1918,4195,10.35,4.8,124,4013,Yes,Saturday,79,77.81,32159
P00054,Body Wash,Beauty,Dove,19085,18418,577,271,3.8,20,Normal,Returning,Chennai,Debit Card,7,13.6,1513,6012,41.85,3.0,396,38913,No,Friday,73,54.82,19085
P00055,Bag,Fashion,Nike,65156,65537,990,565,4.0,15,Winter,Premium,Ahmedabad,UPI,6,7.63,178,7830,57.98,3.1,115,30812,No,Wednesday,71,50.49,65156
P00056,Body Wash,Beauty,Nivea,63475,65748,933,281,5.0,20,Summer,Premium,Mumbai,Credit Card,1,8.95,1680,310,61.36,4.5,312,43756,Yes,Monday,51,51.45,63475
P00057,Water Bottle,Home & Kitchen,Prestige,14605,13565,446,440,2.9,10,Normal,New,Bengaluru,Credit Card,4,7.59,1012,8461,5.9,4.3,195,19299,No,Tuesday,96,77.99,15773
P00058,Shampoo,Beauty,Nivea,32866,34045,724,297,4.0,15,Monsoon,New,Kolkata,Cash on Delivery,2,5.43,6680,8635,37.19,3.7,104,22925,Yes,Wednesday,54,82.23,32866
P00059,Headphones,Electronics,Sony,49907,47226,127,213,4.3,10,Monsoon,Returning,Kolkata,Cash on Delivery,7,14.76,1847,2417,40.46,3.4,24,27746,No,Saturday,46,90.61,47412
P00060,Biscuits,Grocery,Aashirvaad,47525,47867,379,270,4.6,15,Monsoon,Premium,Kolkata,UPI,4,9.81,5450,529,62.81,3.5,482,47017,Yes,Sunday,46,94.48,45149
P00061,Milk,Grocery,Amul,42394,43203,535,113,2.9,5,Festival,New,Pune,Cash on Delivery,4,13.92,4962,3406,24.91,4.8,238,14161,Yes,Tuesday,83,54.74,45785
P00062,Rice,Grocery,Tata,42047,43811,987,261,2.5,50,Festival,Premium,Ahmedabad,UPI,5,5.05,4134,8248,20.7,3.5,380,7846,No,Wednesday,55,97.85,42047
P00063,Shoes,Fashion,Puma,2863,3983,495,342,2.9,15,Summer,New,Chennai,Cash on Delivery,6,5.35,6218,9435,6.09,3.7,179,29586,No,Friday,99,78.59,3092
P00064,Chair,Home & Kitchen,Cello,55102,53362,687,368,3.1,0,Festival,Returning,Chennai,Cash on Delivery,3,7.87,6335,6572,55.53,3.1,263,7100,No,Tuesday,72,88.03,55102
P00065,Jacket,Fashion,H&M,71035,68739,450,214,2.7,25,Summer,Returning,Chennai,Debit Card,7,9.13,3279,1835,61.59,3.7,114,17611,Yes,Tuesday,77,54.0,71035
P00066,Sunscreen,Beauty,Nivea,66539,67834,892,383,4.0,30,Summer,Returning,Chennai,Cash on Delivery,6,7.55,5824,5862,38.29,3.8,341,10653,Yes,Saturday,100,89.65,71862
P00067,Jacket,Fashion,Puma,31704,30914,805,222,2.7,5,Summer,New,Mumbai,Credit Card,7,10.71,7716,1982,55.15,3.4,289,1063,No,Wednesday,85,90.11,34240
P00068,T-Shirt,Fashion,Levis,58692,57397,976,437,2.9,15,Summer,Returning,Kolkata,UPI,6,0.43,3566,1211,6.71,3.5,398,14878,Yes,Friday,81,98.99,63387
P00069,Tablet,Electronics,Samsung,75849,74610,610,476,4.8,10,Winter,New,Delhi,Net Banking,6,14.37,440,6222,8.04,4.4,203,5143,No,Tuesday,58,91.75,75849
P00070,Lipstick,Beauty,Dove,63737,65480,161,313,3.8,5,Winter,Returning,Pune,Net Banking,2,14.76,4698,1866,46.16,4.1,212,12366,No,Thursday,45,59.77,60551
P00071,Sunscreen,Beauty,Lakme,11284,13657,538,326,3.4,50,Winter,New,Bengaluru,UPI,3,14.16,7664,8962,15.03,4.6,394,8336,No,Thursday,59,62.76,11284
P00072,Laptop,Electronics,Apple,50942,48551,319,479,3.3,40,Festival,Returning,Pune,Debit Card,1,1.53,633,8706,43.08,3.1,468,806,No,Tuesday,71,98.26,50942
P00073,Tablet,Electronics,Dell,49263,47469,539,261,4.6,40,Summer,Premium,Pune,Cash on Delivery,6,0.84,936,938,40.04,4.0,307,25197,No,Saturday,59,89.9,49263
P00074,Camera,Electronics,Apple,8629,7832,314,308,2.7,30,Normal,New,Delhi,Cash on Delivery,7,9.6,396,6833,64.3,3.3,467,11334,No,Saturday,43,78.8,8198
P00075,Hoodie,Fashion,Nike,2886,441,224,8,2.5,20,Festival,Returning,Chennai,Net Banking,7,6.7,3368,9551,32.0,3.7,194,28764,No,Tuesday,87,72.88,3116
P00076,Tea,Grocery,Aashirvaad,15561,15009,799,214,4.9,20,Normal,Returning,Pune,Net Banking,7,11.39,3106,1819,28.51,3.8,359,8155,No,Sunday,68,56.66,15561
P00077,Mixer,Home & Kitchen,Philips,58189,60069,37,199,3.4,30,Winter,Premium,Pune,Credit Card,3,2.21,6113,6759,15.85,3.7,326,29410,No,Tuesday,66,87.85,58189
P00078,Body Wash,Beauty,L'Oreal,41494,42944,872,148,4.9,5,Monsoon,Premium,Bengaluru,UPI,1,1.76,4218,162,47.97,3.9,334,4251,No,Tuesday,92,70.54,44813
P00079,Rice,Grocery,Nestle,62418,59465,153,139,4.0,5,Summer,Returning,Pune,Debit Card,5,9.62,2428,8805,21.39,4.0,478,41399,No,Saturday,53,99.39,62418
P00080,Face Wash,Beauty,L'Oreal,6332,4629,832,160,3.5,40,Winter,Premium,Chennai,UPI,1,4.07,7418,974,17.17,3.3,44,13763,Yes,Wednesday,69,94.93,6332
P00081,Fan,Home & Kitchen,Prestige,42880,42144,910,174,3.9,15,Festival,Premium,Pune,Net Banking,6,4.9,3568,5478,37.92,3.0,168,49484,No,Thursday,86,52.42,46310
P00082,Moisturizer,Beauty,Dove,54997,57045,141,13,4.5,0,Monsoon,New,Chennai,UPI,6,8.04,528,107,62.63,3.1,440,39639,Yes,Saturday,55,81.75,54997
P00083,Smart Watch,Electronics,Sony,3767,4873,536,359,2.6,15,Winter,Returning,Delhi,Cash on Delivery,4,1.89,4514,5592,50.43,3.1,71,9026,Yes,Saturday,87,98.96,4068
P00084,Sunscreen,Beauty,Dove,75881,75177,84,32,4.6,5,Winter,Premium,Bengaluru,Cash on Delivery,1,13.67,617,1685,47.4,4.8,469,9098,Yes,Wednesday,75,55.49,75881
P00085,Water Bottle,Home & Kitchen,Philips,23174,21934,943,364,4.3,25,Normal,New,Bengaluru,Debit Card,2,0.02,3550,4827,60.0,3.5,370,35020,No,Saturday,47,94.63,22016
P00086,Bag,Fashion,Nike,49473,49152,602,100,2.8,50,Summer,Premium,Chennai,Debit Card,7,9.78,7484,7222,41.8,3.8,246,40823,No,Monday,79,59.9,49473
P00087,Cooking Oil,Grocery,Aashirvaad,5060,7317,476,11,3.3,50,Monsoon,Returning,Delhi,UPI,7,10.04,2993,5692,56.9,4.6,406,32196,Yes,Wednesday,68,91.4,5060
P00088,Sneakers,Fashion,Adidas,37996,35216,827,90,5.0,25,Monsoon,New,Hyderabad,Net Banking,2,1.35,6128,8005,68.87,3.5,409,20454,Yes,Thursday,47,59.76,36097
P00089,Coffee,Grocery,Fortune,4273,3124,529,316,4.6,30,Normal,New,Chennai,Net Banking,4,5.19,1435,8718,59.6,4.1,227,47743,No,Friday,56,92.75,4273
P00090,Face Wash,Beauty,Dove,62276,63403,843,18,3.5,25,Summer,Premium,Pune,Debit Card,5,11.42,7224,3679,14.11,3.7,419,14692,No,Thursday,48,58.35,59163
P00091,T-Shirt,Fashion,Levis,22783,20841,231,399,4.0,30,Normal,New,Bengaluru,UPI,7,14.07,3841,6361,33.9,4.9,488,27701,No,Thursday,73,68.17,22783
P00092,Cooking Oil,Grocery,Nestle,34037,36188,476,55,4.8,40,Festival,Premium,Delhi,Net Banking,5,9.2,7691,3793,8.61,3.5,494,3941,No,Tuesday,43,72.39,32336
P00093,Moisturizer,Beauty,Lakme,15786,18380,309,424,3.8,0,Summer,New,Kolkata,Credit Card,5,3.01,783,4251,65.14,4.3,113,16855,Yes,Monday,68,51.91,15786
P00094,Camera,Electronics,Samsung,22166,24991,436,429,2.5,0,Winter,Returning,Chennai,Cash on Delivery,6,13.08,3562,939,60.76,5.0,125,9358,No,Friday,98,95.13,23939
P00095,Jeans,Fashion,H&M,15637,16393,532,599,2.7,50,Winter,New,Mumbai,Cash on Delivery,4,13.49,484,2901,32.5,4.7,83,10994,No,Thursday,82,68.29,16887
P00096,Camera,Electronics,Samsung,79141,77028,400,429,3.9,0,Winter,Returning,Mumbai,UPI,6,11.45,7550,2789,45.59,3.5,231,48177,Yes,Wednesday,73,72.75,79141
P00097,Perfume,Beauty,Dove,45167,44646,107,305,3.5,10,Winter,New,Mumbai,Net Banking,6,5.79,359,862,33.95,4.8,96,8981,Yes,Sunday,54,60.14,45167
P00098,Jacket,Fashion,H&M,11883,9433,382,429,4.2,20,Monsoon,New,Kolkata,Net Banking,7,0.54,311,3241,44.12,4.2,466,45292,No,Tuesday,69,72.43,11883
P00099,Sunscreen,Beauty,Mamaearth,36410,38946,813,106,4.9,30,Monsoon,Returning,Ahmedabad,Cash on Delivery,3,12.57,7176,8777,6.7,3.9,381,33055,Yes,Saturday,85,64.08,39322
P00100,Hoodie,Fashion,Puma,50913,52681,516,59,4.0,5,Summer,Premium,Kolkata,Debit Card,2,13.23,2756,1988,45.87,4.3,56,31181,No,Thursday,40,69.66,48368
P00101,Body Wash,Beauty,Nivea,29974,30230,997,168,4.4,0,Winter,Returning,Kolkata,Credit Card,1,10.89,7841,5361,49.1,4.0,426,6237,No,Sunday,97,67.65,32371
P00102,Sunscreen,Beauty,Lakme,17732,18962,835,477,3.3,15,Normal,New,Pune,Credit Card,2,8.12,3477,1020,52.41,3.9,404,38614,Yes,Wednesday,87,54.08,19150
P00103,Microwave,Home & Kitchen,Philips,13411,16147,850,421,4.3,40,Festival,New,Delhi,Cash on Delivery,5,13.41,381,7243,24.11,4.1,486,43612,No,Monday,40,63.65,12741
P00104,Hoodie,Fashion,Adidas,46204,44078,225,303,4.8,50,Normal,Returning,Chennai,Credit Card,7,2.05,1139,4923,11.1,4.8,184,36637,Yes,Monday,61,52.1,46204
P00105,Wheat Flour,Grocery,Nestle,28669,30618,668,290,3.3,40,Summer,New,Ahmedabad,Net Banking,4,1.38,7026,4646,17.62,4.4,328,13459,No,Wednesday,64,87.6,28669
P00106,Sunscreen,Beauty,Dove,79932,81192,567,74,3.2,0,Summer,Premium,Hyderabad,Cash on Delivery,6,5.96,5942,2474,24.83,3.9,393,30514,No,Monday,95,64.43,86326
P00107,Table,Home & Kitchen,Philips,63568,65831,746,553,2.9,20,Festival,New,Kolkata,Debit Card,3,4.8,7219,6035,48.26,3.9,444,21473,Yes,Friday,71,78.06,63568
P00108,Bag,Fashion,H&M,27106,24672,572,329,3.2,50,Summer,Returning,Bengaluru,UPI,2,4.84,2657,1272,18.84,3.2,68,40042,No,Sunday,66,67.99,27106
P00109,Microwave,Home & Kitchen,Philips,21196,23194,126,329,2.9,5,Festival,New,Hyderabad,UPI,7,12.22,6514,7047,40.28,4.5,30,16920,Yes,Tuesday,75,88.61,21196
P00110,Wheat Flour,Grocery,Fortune,61554,59115,390,408,4.5,20,Monsoon,Returning,Mumbai,Net Banking,3,7.58,4694,2397,16.65,4.2,412,43799,No,Thursday,49,67.32,58477
P00111,Milk,Grocery,Aashirvaad,47078,49741,81,580,3.2,10,Monsoon,New,Delhi,UPI,6,7.55,5622,5964,32.32,3.4,51,31419,Yes,Friday,88,97.96,50844
P00112,Sunscreen,Beauty,Lakme,74403,76809,47,52,4.6,30,Monsoon,New,Ahmedabad,Debit Card,6,10.4,7126,2627,28.29,4.2,204,14457,Yes,Wednesday,56,65.3,74403
P00113,Biscuits,Grocery,Aashirvaad,16599,14584,953,454,4.8,10,Winter,Premium,Mumbai,Debit Card,1,11.34,37,4168,63.73,3.9,41,14524,Yes,Saturday,96,83.25,17926
P00114,Table,Home & Kitchen,Philips,31353,32725,956,550,3.2,40,Winter,Premium,Bengaluru,Net Banking,4,12.11,7690,3605,21.08,4.3,59,10892,Yes,Saturday,45,51.61,29786
P00115,Moisturizer,Beauty,L'Oreal,2942,915,601,549,3.1,40,Summer,Returning,Delhi,Credit Card,7,8.61,5533,4747,5.16,4.3,274,16786,Yes,Monday,63,90.52,2942
P00116,Perfume,Beauty,Dove,23349,23809,286,131,2.7,30,Winter,New,Kolkata,UPI,5,13.64,562,4578,56.1,4.4,413,25772,No,Tuesday,48,76.6,22182
P00117,Water Bottle,Home & Kitchen,Milton,1005,3298,953,321,4.1,20,Winter,Premium,Hyderabad,Cash on Delivery,7,5.15,1094,6804,12.09,3.7,22,41833,Yes,Monday,85,56.14,1085
P00118,Chair,Home & Kitchen,Prestige,67354,64715,388,598,4.4,0,Summer,Returning,Delhi,UPI,3,12.26,3635,5019,52.24,4.2,326,3584,Yes,Tuesday,83,79.9,72742
P00119,Sneakers,Fashion,Levis,16217,14072,415,503,2.6,5,Winter,Returning,Delhi,Debit Card,6,12.14,1733,8490,33.17,4.6,304,14255,Yes,Monday,95,95.83,17514
P00120,Camera,Electronics,Sony,48451,51387,226,204,4.7,20,Monsoon,Premium,Mumbai,Credit Card,2,9.23,6476,9886,51.84,4.4,307,5524,Yes,Sunday,42,91.47,46029
P00121,Tea,Grocery,Fortune,20329,19744,609,583,3.7,40,Normal,Returning,Mumbai,Debit Card,3,6.13,6001,2295,13.91,4.4,486,39165,Yes,Monday,95,71.82,21955
P00122,Shoes,Fashion,H&M,14472,14109,982,498,2.9,15,Festival,Returning,Bengaluru,Credit Card,2,4.29,6017,4624,59.06,3.2,140,24571,Yes,Monday,66,82.51,14472
P00123,Fan,Home & Kitchen,Milton,20424,21114,473,507,3.0,40,Monsoon,New,Bengaluru,UPI,2,9.15,84,5217,19.41,3.1,119,20236,Yes,Monday,71,89.83,20424
P00124,Coffee,Grocery,Nestle,34598,36817,361,77,3.4,5,Monsoon,New,Mumbai,Credit Card,3,12.36,944,1863,26.98,4.3,230,21945,Yes,Tuesday,40,55.12,32869
P00125,T-Shirt,Fashion,Adidas,46297,44482,326,343,2.5,40,Festival,Premium,Kolkata,Cash on Delivery,1,10.56,5505,2039,51.36,3.7,256,11956,No,Wednesday,73,90.14,46297
P00126,Fan,Home & Kitchen,Philips,17619,17489,75,238,3.6,40,Normal,Premium,Mumbai,Cash on Delivery,2,3.89,4150,8378,18.8,4.9,319,6014,Yes,Thursday,67,94.64,17619
P00127,Table,Home & Kitchen,Philips,40665,41190,309,75,2.9,0,Winter,Premium,Ahmedabad,UPI,4,1.35,1632,5279,49.16,4.3,154,34277,Yes,Wednesday,59,64.57,40665
P00128,Headphones,Electronics,Dell,58335,60876,655,280,3.8,20,Monsoon,New,Pune,Net Banking,2,11.59,3583,1136,18.35,4.7,362,21089,No,Wednesday,80,58.46,58335
P00129,Perfume,Beauty,Nivea,59242,59469,335,528,3.5,30,Summer,New,Delhi,UPI,7,4.59,381,3194,60.94,4.8,69,19188,Yes,Monday,79,88.46,59242
P00130,Mixer,Home & Kitchen,Milton,11028,13230,620,302,4.7,20,Winter,Premium,Chennai,Net Banking,2,14.52,1989,6930,66.84,4.3,420,24110,No,Wednesday,96,80.1,11910
P00131,Face Wash,Beauty,Mamaearth,11152,10225,791,54,4.5,0,Normal,Premium,Ahmedabad,Net Banking,1,7.8,4355,4702,23.66,4.2,30,1477,No,Thursday,86,63.58,12044
P00132,Lipstick,Beauty,Mamaearth,77629,78720,188,284,4.8,10,Summer,New,Delhi,Debit Card,5,2.86,7078,7053,67.57,4.1,351,45869,No,Sunday,86,84.3,83839
P00133,Jeans,Fashion,Levis,66696,67624,902,27,3.8,5,Festival,Premium,Hyderabad,Credit Card,5,9.4,4230,4839,32.61,4.1,261,31711,Yes,Tuesday,91,96.58,72031
P00134,Camera,Electronics,OnePlus,65726,65696,969,574,3.2,20,Monsoon,Premium,Chennai,Cash on Delivery,3,9.58,2233,8972,31.37,3.9,478,3089,No,Sunday,76,91.68,65726
P00135,Biscuits,Grocery,Nestle,64049,65811,830,113,3.1,50,Festival,Returning,Ahmedabad,Credit Card,3,1.27,7936,52,33.02,4.3,447,39127,Yes,Wednesday,54,66.86,64049
P00136,Face Wash,Beauty,L'Oreal,9122,6506,194,102,3.4,10,Festival,Premium,Mumbai,UPI,1,0.78,5350,9330,61.82,3.5,76,7079,No,Tuesday,94,80.03,9851
P00137,Bag,Fashion,H&M,35180,33593,527,400,3.5,0,Summer,Returning,Bengaluru,Credit Card,1,4.96,6921,3329,5.64,3.2,223,3617,Yes,Sunday,91,95.07,37994
P00138,Lipstick,Beauty,Mamaearth,79766,79852,81,350,4.1,15,Normal,Premium,Pune,Debit Card,5,12.39,2998,4103,43.44,4.8,455,23946,Yes,Monday,93,90.65,86147
P00139,Smart TV,Electronics,Samsung,69799,70434,237,269,3.7,20,Monsoon,New,Ahmedabad,Net Banking,3,1.63,3660,2731,65.41,3.9,438,49225,No,Monday,47,79.31,66310
